cbg,nbrands,entropy_brand,brand_range,brand_std,nlevels,entropy_price
340170031003,22,0.4438230177760366,41036.5,9538.902928037,3,0.5828920259075367
340170040002,23,0.4551758241345002,64669.0,13699.076614156353,4,0.7726462568218372
340170041013,31,0.4946580808894321,56054.0,12738.19844320301,3,0.6416273766382263
340170045003,27,0.44592002940317804,67514.0,14001.494439555423,3,0.5486774757179141
340170054002,33,0.5049364896133176,44595.0,10296.231150458128,4,0.6972791309336366
340170058021,23,0.45084243843526595,47379.0,10903.302091404632,3,0.6628923906016655
340170060001,22,0.44228949756480757,61517.0,15874.379203737153,2,0.43156028428331555
340170063003,29,0.4912269588488552,52703.5,11613.372070090618,4,0.7781676877538571
340170071002,29,0.4634504083486934,41547.5,10122.007589783412,4,0.7650244187653711
340170073001,50,0.5556450351068632,66455.5,12145.866324798866,4,0.6463831115215795
340170074001,53,0.5384301259852798,57494.5,11955.277375833219,4,0.7376698270228084
340170075001,26,0.46453486757563633,60924.0,13677.402877762504,3,0.6655776045562399
340170075003,33,0.504196265562505,49572.0,11866.333417914602,3,0.7469775572678619
340170076001,124,0.6490485568310983,75587.0,12787.326205743317,4,0.705798872938798
340170077002,47,0.5519813444186007,64344.0,12840.270427170233,3,0.7254541418750912
340170077003,30,0.47531726714265715,67708.0,13526.897381449708,4,0.746907245512095
340170077004,40,0.5225281888699348,59969.0,11456.170558740176,3,0.6905107157030077
340170078001,29,0.48513498645498704,43288.0,9784.646858943046,3,0.4686966796200974
340170104003,28,0.466332663567653,40567.0,10704.166223858634,4,0.7309989317557697
340170110001,23,0.451090019153375,43289.0,11028.59499253799,3,0.574236899619724
340170138001,35,0.5104792078514028,74049.0,14223.360752059756,4,0.6754400364997405
340170139002,23,0.44965095222415435,42308.0,10693.677454174001,3,0.6018304511334187
340170141011,33,0.47934054816329696,68691.0,11789.804731618717,4,0.6784555450692958
340170141021,33,0.500417314241936,40505.0,8390.230282574928,4,0.7546028877838071
340170142002,20,0.40521032659457795,45885.0,12744.570269446076,2,0.4652930645659965
340170146001,24,0.44819121871691303,48813.5,11125.51863550008,2,0.49839581599081834
